state,public_use_microdata_area,WhiteNH,BlackNH,AminNH,AsianNH,OtherNH,TwoMore,Hispan,WhiteHispan,BlackHispan,HispanOther
06,03762,9822,23335,142,32867,306,3565,43144,21086,349,21709
17,00800,117274,7103,169,651,91,2677,3190,2196,36,958
06,01304,90999,1354,73,17413,192,6445,9672,5288,98,4286
06,01307,37693,13095,291,20981,601,7270,55427,18604,521,36302
06,07302,68928,1652,3609,3018,314,3354,37280,24163,187,12930
06,07307,74873,1790,1094,3292,122,4533,26873,15978,149,10746
06,07319,56554,14932,271,10316,202,6255,51553,33082,418,18053
06,07322,20967,6483,252,12712,848,3444,103228,74716,793,27719
06,07310,127347,4766,440,8341,305,7449,25664,16324,348,8992
06,07320,29940,8240,36,34134,601,6459,77763,50559,995,26209
06,07316,88865,9452,503,11796,262,5735,58063,40225,795,17043
06,07309,115304,1939,500,30608,123,9145,23084,12553,122,10409
06,07304,84212,1281,242,10744,239,5808,21709,14839,98,6772
06,07301,91499,10701,966,13235,514,7691,76524,45207,590,30727
06,07313,116147,7615,423,7609,499,8720,44320,23298,947,20075
06,07321,25915,6933,254,16611,135,2776,124726,88369,817,35540
06,03763,21512,23837,317,20464,468,4011,74752,24575,914,49263
06,06101,95633,2788,358,17321,138,6090,22607,12655,139,9813
06,06102,91097,1958,275,10834,377,6080,19392,11645,41,7706
06,01700,146919,1439,864,9462,309,6579,24773,17633,147,6993
06,08702,84011,1707,223,8858,411,4955,27227,14096,230,12901
06,08701,71398,903,82,4381,436,3929,64649,26276,632,37741
06,04702,44782,6360,501,15345,316,3357,90592,37358,433,52801
06,04701,28805,1266,513,5690,44,1846,74244,28524,131,45589
06,03300,100337,1933,4902,2766,590,4837,36021,18084,74,17863
06,01500,92010,4346,4656,2724,598,5055,20116,12848,184,7084
06,01100,75126,887,1887,2459,279,3594,42036,29045,146,12845
06,08303,118584,3534,424,15062,722,5435,65744,34002,241,31501
06,08302,42979,2485,804,4272,119,3370,50773,28708,186,21879
06,08301,33766,1891,368,4804,200,2869,86690,61508,137,25045
06,10100,85484,4267,1463,21607,301,8298,52419,32813,259,19347
06,04101,75823,2761,118,6862,1294,5345,16683,6413,390,9880
06,04102,107436,2804,128,8293,689,6151,25054,9396,46,15612
06,05700,86878,350,367,1230,121,3596,9773,7441,63,2269
06,05500,71817,2738,467,10636,606,5008,47300,26797,124,20379
06,03100,47717,8878,1195,5575,236,4535,82954,48047,942,33965
06,01302,39910,16772,244,33542,598,6682,27642,13322,768,13552
06,01301,17644,17244,384,16712,838,4753,65983,24671,583,40729
06,01303,65883,7112,150,17852,487,8022,36474,14795,184,21495
06,01309,63007,9044,607,10715,343,6115,31507,14738,759,16010
06,07503,55032,8351,649,45142,732,6651,30290,9308,328,20654
06,09501,46756,22966,218,32772,1634,8395,38583,14947,895,22741
06,09503,73176,11221,576,11559,540,7096,37518,22533,319,14666
06,09502,45394,25062,703,26660,513,10003,43193,22452,528,20213
06,02500,18393,4317,1030,2487,151,1322,152880,83912,399,68569
06,09701,129197,1512,852,4346,970,6488,38597,17198,167,21232
24,01104,2410,98405,140,1554,85,2251,11123,2443,1262,7418
24,01103,15269,48533,256,3480,485,2493,41153,8953,1420,30780
24,01101,21385,33690,175,8680,768,2320,53927,6767,837,46323
24,01105,26047,133576,296,5475,1071,6100,13830,4923,1637,7270
24,01102,25740,69184,251,11909,700,4307,25233,6611,1591,17031
24,00700,86797,6606,81,1548,53,3104,4700,2681,426,1593
24,00803,21138,89892,277,1342,831,3419,4525,2049,1467,1009
24,00802,41790,52120,135,5437,284,3334,4701,2458,371,1872
24,00801,20189,103447,96,1091,572,2227,2763,992,569,1202
24,00804,50102,56171,646,4913,440,4199,14224,6791,1001,6432
24,00805,31198,69119,421,2233,247,2337,6414,2289,845,3280
24,01006,32267,50598,141,17008,875,3520,18559,7438,770,10351
24,01002,37306,31271,58,23100,1180,5852,38228,20206,1401,16621
24,01003,79892,23582,358,41320,1107,7962,36048,17643,897,17508
24,01005,52004,22839,259,15764,1454,3968,48392,13219,686,34487
24,01001,80093,16616,347,25842,639,5079,15821,7940,254,7627
24,01004,124168,11821,131,25335,1259,7532,19899,12311,710,6878
42,03102,96604,5856,43,11150,158,2877,5437,3526,153,1758
42,03105,99638,5854,52,13575,1798,2899,5423,3621,33,1769
42,03101,117872,9818,31,6070,164,4223,5668,3501,229,1938
42,03104,79256,20654,32,7560,320,3290,13000,6035,679,6286
42,02600,128299,3840,138,578,60,2142,6878,3766,403,2709
42,04002,90565,3715,15,307,155,2577,1790,1128,127,535
42,02402,98934,3160,190,3223,931,2294,6369,2642,233,3494
42,02401,79778,45891,246,9954,394,5128,20579,8626,4791,7162
42,02100,121502,4379,29,638,176,2626,2212,1040,329,843
42,02902,131823,3539,134,2498,25,1755,10985,6926,333,3726
42,02901,111401,13684,95,6590,710,4994,35881,19347,1858,14676
42,00702,118099,1375,64,1657,149,2580,3690,2694,51,945
42,02802,125421,5564,77,5380,250,4230,17779,9410,734,7635
42,02801,114558,3349,220,3389,96,2072,7841,5168,415,2258
42,02803,37573,11725,143,3598,573,1850,65733,32069,5050,28614
42,00600,109458,21715,260,4070,1433,3864,28024,15912,2234,9878
42,03303,80710,50339,89,1885,767,3788,7966,2984,1374,3608
42,03304,101679,6383,258,7686,178,2206,2935,1744,198,993
36,00800,110742,3800,176,1031,256,3062,5331,2861,194,2276
26,01004,114230,1563,144,1252,1369,3663,6633,4544,131,1958
26,01002,116173,34901,461,5201,841,9587,32604,14744,1078,16782
13,02500,126001,19480,148,1636,501,4693,17205,11217,149,5839
13,02400,68739,26541,77,5041,1748,3076,8322,4469,174,3679
13,01200,99338,41009,245,572,531,1769,15833,5859,359,9615
13,00200,62314,34947,417,2168,417,6408,12925,5412,679,6834
13,01900,100345,43695,428,1232,241,2941,5352,3702,98,1552
13,03001,62562,45251,131,8822,1669,5776,27688,11982,1228,14478
13,03005,113054,10559,186,12585,552,4672,11147,6693,466,3988
13,03002,82375,28634,279,6466,691,3771,16099,8915,572,6612
13,03003,63185,54133,179,2765,476,2830,14259,5639,1588,7032
13,03004,64932,64417,154,10536,330,6044,29444,12838,1745,14861
13,04400,56389,67925,110,2486,209,3600,14344,8321,1097,4926
13,03600,69710,35570,36,4976,268,2721,13671,8998,259,4414
13,02900,80700,10465,134,1045,1619,3034,9459,6128,215,3116
13,02200,60997,35074,91,1641,186,1580,3391,2103,56,1232
13,01600,109250,59605,219,1578,134,2796,6612,3578,233,2801
13,01700,83692,91325,581,5395,464,7605,16826,6181,1686,8959
13,04006,49385,49882,164,32103,740,4053,80480,32014,1922,46544
13,04001,50761,32582,375,26399,670,4841,35797,12902,1804,21091
13,04005,42647,58611,647,9182,799,3690,14457,5832,895,7730
13,04003,56207,63523,20,15893,575,5536,30596,17631,1880,11085
13,04002,75318,20170,54,19208,484,3276,16250,8360,459,7431
06,06711,44990,6232,403,27911,460,5760,31524,17555,261,13708
34,00905,41232,11520,221,28225,529,1808,25502,15137,829,9536
39,05503,44949,52975,26,927,1178,4390,5151,2695,161,2295
39,05504,55836,53798,54,4046,369,4120,5226,2732,488,2006
39,05505,73492,24097,49,2455,466,3169,3764,2347,367,1050
39,05507,92764,4018,90,5256,586,2680,2746,2178,96,472
39,05501,102225,5568,89,1225,317,1978,2084,1369,0,715
39,04604,105462,5677,95,5314,382,3461,3822,2079,57,1686
39,04603,94229,59841,334,2464,536,6213,7573,4142,278,3153
39,04602,83974,34427,262,1854,456,5733,2370,1086,190,1094
39,04601,89759,8898,57,2229,262,3453,2851,1702,89,1060
39,02000,108651,1432,147,1193,109,2152,2379,877,5,1497
39,04105,89009,9145,236,8971,222,4056,5015,2669,142,2204
39,04104,92587,4511,98,8030,129,4332,3875,2447,201,1227
39,04106,45416,77208,265,7990,952,6807,11677,6913,550,4214
39,04102,76245,21138,32,3558,211,4441,6208,3725,98,2385
06,03729,105242,9349,447,45609,1434,10869,35371,18669,398,16304
06,03724,84619,7283,191,17774,840,6440,64290,25747,590,37953
06,03725,80222,9119,248,27052,1036,6201,62280,24975,369,36936
06,03703,49799,32296,725,6759,345,5424,68401,40340,809,27252
06,03704,34792,18725,1022,6832,686,2909,100766,41443,607,58716
06,03758,13382,35840,131,24649,936,3329,80878,34297,844,45737
06,03702,86085,8163,450,21585,458,7710,67925,39374,418,28133
06,03709,54289,9561,106,18012,343,5264,22709,10788,143,11778
06,03710,23163,5444,375,31334,253,2376,113216,54970,533,57713
06,03711,74905,5340,384,22061,509,6086,58534,33221,396,24917
06,03757,2244,42651,116,1695,705,1971,109720,44295,652,64773
06,03750,2885,59771,295,1908,752,2948,118493,45655,1086,71752
06,03747,14478,63298,62,6972,1505,4248,67284,31495,2033,33756
06,03706,37888,3962,143,16987,728,2196,83361,51648,374,31339
